mode;prompt_type;id;prompt;p1_sex;p2_sex;p1_prompt;p2_prompt
easy;all;14;A high angle shot of <|man_1|> waving his hand, gently, looking nostalgic, in a rustic café with wooden walls, Ultra HD quality.;man;;A high angle shot of <|man_1|> waving his hand, gently, looking nostalgic.;
easy;all;15;A low angle shot of <|man_1|> waving his hand, hesitantly, looking unsure, in a serene rose garden, Ultra HD quality.;man;;A low angle shot of <|man_1|> waving his hand, hesitantly, looking unsure.;
easy;all;16;A close shot of <|man_1|> clapping, enthusiastically, cheering for someone, in a sunlit pasture, Ultra HD quality.;man;;A close shot of <|man_1|> clapping, enthusiastically, cheering for someone.;
easy;all;17;A long shot of <|man_1|> clapping, with delight, eyes shining, on a colorful basketball court, Ultra HD quality.;man;;A long shot of <|man_1|> clapping, with delight, eyes shining.;
easy;all;18;A high angle shot of <|woman_1|> clapping, looking thoughtful, in a reading room, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> clapping, looking thoughtful.;
easy;all;19;A low angle shot of <|woman_1|> clapping, with a smirk, looking unimpressed, in a cozy living room, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> clapping, with a smirk, looking unimpressed.;
easy;all;20;A close shot of <|woman_1|> putting her hands in her pockets, looking cool, in a modern living room, Ultra HD quality.;woman;;A close shot of <|woman_1|> putting her hands in her pockets, looking cool.;
easy;all;21;A long shot of <|woman_1|> putting her hands in her pockets, shoulders slightly slouched, in a stone-paved alley, Ultra HD quality.;woman;;A long shot of <|woman_1|> putting her hands in her pockets, shoulders slightly slouched.;
easy;all;22;A high angle shot of <|man_1|> putting his hands in his pockets, with a confident smile, in an open square, Ultra HD quality.;man;;A high angle shot of <|man_1|> putting his hands in his pockets, with a confident smile.;
easy;all;23;A low angle shot of <|man_1|> putting his hands in his pockets, looking cold, in an open green park, Ultra HD quality.;man;;A low angle shot of <|man_1|> putting his hands in his pockets, looking cold.;
easy;all;24;A close shot of <|man_1|> jumping up, with excitement, arms raised high, in a dense forest, Ultra HD quality.;man;;A close shot of <|man_1|> jumping up, with excitement, arms raised high.;
easy;all;25;A long shot of <|man_1|> jumping up, in joy, her face full of happiness, on a serene beach, Ultra HD quality.;man;;A long shot of <|man_1|> jumping up, in joy, her face full of happiness.;
easy;all;26;A high angle shot of <|woman_1|> jumping up, with surprise, mouth open, in a remote valley, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> jumping up, with surprise, mouth open.;
easy;all;27;A low angle shot of <|woman_1|> jumping up, with power and determination, on a tropical beach, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> jumping up, with power and determination.;
easy;all;28;A close shot of <|woman_1|> checking the time on her wristwatch, looking impatient, in a modern conference room, Ultra HD quality.;woman;;A close shot of <|woman_1|> checking the time on her wristwatch, looking impatient.;
easy;all;29;A long shot of <|woman_1|> checking the time on her wristwatch, looking serious, in a European town square, Ultra HD quality.;woman;;A long shot of <|woman_1|> checking the time on her wristwatch, looking serious.;
easy;all;30;A high angle shot of <|man_1|> checking the time on his wristwatch, looking surprised, in a modern office, Ultra HD quality.;man;;A high angle shot of <|man_1|> checking the time on his wristwatch, looking surprised.;
easy;all;31;A low angle shot of <|man_1|> checking the time on his wristwatch, looking deep in thought, in a rustic café with wooden walls, Ultra HD quality.;man;;A low angle shot of <|man_1|> checking the time on his wristwatch, looking deep in thought.;
easy;all;32;A close shot of <|man_1|> crossing his hands in front of his chest, looking defensive, on a quiet city street, Ultra HD quality.;man;;A close shot of <|man_1|> crossing his hands in front of his chest, looking defensive.;
easy;all;33;A long shot of <|man_1|> crossing his hands in front of his chest, smiling confidently, on a steep city street, Ultra HD quality.;man;;A long shot of <|man_1|> crossing his hands in front of his chest, smiling confidently.;
easy;all;34;A high angle shot of <|woman_1|> crossing her hands in front of her chest, looking grumpy, in a serene rose garden, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> crossing her hands in front of her chest, looking grumpy.;
easy;all;35;A low angle shot of <|woman_1|> crossing her hands in front of her chest, looking strict, in a sunlit pasture, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> crossing her hands in front of her chest, looking strict.;
easy;all;36;A close shot of <|woman_1|> kneeling on the ground, looking tired, on a colorful basketball court, Ultra HD quality.;woman;;A close shot of <|woman_1|> kneeling on the ground, looking tired.;
easy;all;37;A long shot of <|woman_1|> kneeling on the ground, playing with a toy, in a reading room, Ultra HD quality.;woman;;A long shot of <|woman_1|> kneeling on the ground, playing with a toy.;
easy;all;38;A high angle shot of <|man_1|> kneeling on the ground, tying his shoelace, in a cozy living room, Ultra HD quality.;man;;A high angle shot of <|man_1|> kneeling on the ground, tying his shoelace.;
easy;all;39;A low angle shot of <|man_1|> kneeling on the ground, looking at something closely, in a modern living room, Ultra HD quality.;man;;A low angle shot of <|man_1|> kneeling on the ground, looking at something closely.;
easy;all;40;A close shot of <|man_1|> squatting down, looking tired, in a stone-paved alley, Ultra HD quality.;man;;A close shot of <|man_1|> squatting down, looking tired.;
easy;all;41;A long shot of <|man_1|> squatting down, organizing her belongings, in an open square, Ultra HD quality.;man;;A long shot of <|man_1|> squatting down, organizing her belongings.;
easy;all;42;A high angle shot of <|woman_1|> squatting down, picking up a flower, in an open green park, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> squatting down, picking up a flower.;
easy;all;43;A low angle shot of <|woman_1|> squatting down, resting after exercise, in a dense forest, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> squatting down, resting after exercise.;
easy;all;44;A close shot of <|woman_1|> punching, looking fierce, on a serene beach, Ultra HD quality.;woman;;A close shot of <|woman_1|> punching, looking fierce.;
easy;all;45;A long shot of <|woman_1|> punching, pretending to fight, in a remote valley, Ultra HD quality.;woman;;A long shot of <|woman_1|> punching, pretending to fight.;
easy;all;46;A high angle shot of <|man_1|> punching, smiling playfully, on a boat, Ultra HD quality.;man;;A high angle shot of <|man_1|> punching, smiling playfully.;
easy;all;47;A low angle shot of <|man_1|> punching, full of energy, on a tropical beach, Ultra HD quality.;man;;A low angle shot of <|man_1|> punching, full of energy.;
easy;all;48;A close shot of <|man_1|> shrugging his shoulders, looking confused, in a modern conference room, Ultra HD quality.;man;;A close shot of <|man_1|> shrugging his shoulders, looking confused.;
easy;all;49;A long shot of <|man_1|> shrugging his shoulders, pretending not to know, in a European town square, Ultra HD quality.;man;;A long shot of <|man_1|> shrugging his shoulders, pretending not to know.;
easy;all;50;A high angle shot of <|woman_1|> shrugging her shoulders, looking uninterested, in a modern office, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> shrugging her shoulders, looking uninterested.;
easy;all;51;A low angle shot of <|woman_1|> shrugging her shoulders, with a smile, looking playful, in a rustic café with wooden walls, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> shrugging her shoulders, with a smile, looking playful.;
easy;action+layout;0;A close shot of <|man_1|> standing, Ultra HD quality.;man;;A close shot of <|man_1|> standing.;
easy;action+layout;1;A long shot of <|man_1|> standing, Ultra HD quality.;man;;A long shot of <|man_1|> standing.;
easy;action+layout;2;A high angle shot of <|woman_1|> standing, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> standing.;
easy;action+layout;3;A low angle shot of <|woman_1|> standing, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> standing.;
easy;action+layout;4;A close shot of <|woman_1|> walking, Ultra HD quality.;woman;;A close shot of <|woman_1|> walking.;
easy;action+layout;5;A long shot of <|woman_1|> walking, Ultra HD quality.;woman;;A long shot of <|woman_1|> walking.;
easy;action+layout;6;A high angle shot of <|man_1|> walking, Ultra HD quality.;man;;A high angle shot of <|man_1|> walking.;
easy;action+layout;7;A low angle shot of <|man_1|> walking, Ultra HD quality.;man;;A low angle shot of <|man_1|> walking.;
easy;action+layout;8;A close shot of <|man_1|> running, Ultra HD quality.;man;;A close shot of <|man_1|> running.;
easy;action+layout;9;A long shot of <|man_1|> running, Ultra HD quality.;man;;A long shot of <|man_1|> running.;
easy;action+layout;10;A high angle shot of <|woman_1|> running, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> running.;
easy;action+layout;11;A low angle shot of <|woman_1|> running, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> running.;
easy;action+layout;12;A close shot of <|woman_1|> waving her hand, Ultra HD quality.;woman;;A close shot of <|woman_1|> waving her hand.;
easy;action+layout;13;A long shot of <|woman_1|> waving her hand, Ultra HD quality.;woman;;A long shot of <|woman_1|> waving her hand.;
easy;action+layout;14;A high angle shot of <|man_1|> waving his hand, Ultra HD quality.;man;;A high angle shot of <|man_1|> waving his hand.;
easy;action+layout;15;A low angle shot of <|man_1|> waving his hand, Ultra HD quality.;man;;A low angle shot of <|man_1|> waving his hand.;
easy;action+layout;16;A close shot of <|man_1|> clapping, Ultra HD quality.;man;;A close shot of <|man_1|> clapping.;
easy;action+layout;17;A long shot of <|man_1|> clapping, Ultra HD quality.;man;;A long shot of <|man_1|> clapping.;
easy;action+layout;18;A high angle shot of <|woman_1|> clapping, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> clapping.;
easy;action+layout;19;A low angle shot of <|woman_1|> clapping, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> clapping.;
easy;action+layout;20;A close shot of <|woman_1|> putting her hands in her pockets, Ultra HD quality.;woman;;A close shot of <|woman_1|> putting her hands in her pockets.;
easy;action+layout;21;A long shot of <|woman_1|> putting her hands in her pockets, Ultra HD quality.;woman;;A long shot of <|woman_1|> putting her hands in her pockets.;
easy;action+layout;22;A high angle shot of <|man_1|> putting his hands in his pockets, Ultra HD quality.;man;;A high angle shot of <|man_1|> putting his hands in his pockets.;
easy;action+layout;23;A low angle shot of <|man_1|> putting his hands in his pockets, Ultra HD quality.;man;;A low angle shot of <|man_1|> putting his hands in his pockets.;
easy;action+layout;24;A close shot of <|man_1|> jumping up, Ultra HD quality.;man;;A close shot of <|man_1|> jumping up.;
easy;action+layout;25;A long shot of <|man_1|> jumping up, Ultra HD quality.;man;;A long shot of <|man_1|> jumping up.;
easy;action+layout;26;A high angle shot of <|woman_1|> jumping up, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> jumping up.;
easy;action+layout;27;A low angle shot of <|woman_1|> jumping up, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> jumping up.;
easy;action+layout;28;A close shot of <|woman_1|> checking the time on her wristwatch, Ultra HD quality.;woman;;A close shot of <|woman_1|> checking the time on her wristwatch.;
easy;action+layout;29;A long shot of <|woman_1|> checking the time on her wristwatch, Ultra HD quality.;woman;;A long shot of <|woman_1|> checking the time on her wristwatch.;
easy;action+layout;30;A high angle shot of <|man_1|> checking the time on his wristwatch, Ultra HD quality.;man;;A high angle shot of <|man_1|> checking the time on his wristwatch.;
easy;action+layout;31;A low angle shot of <|man_1|> checking the time on his wristwatch, Ultra HD quality.;man;;A low angle shot of <|man_1|> checking the time on his wristwatch.;
easy;action+layout;32;A close shot of <|man_1|> crossing his hands in front of his chest, Ultra HD quality.;man;;A close shot of <|man_1|> crossing his hands in front of his chest.;
easy;action+layout;33;A long shot of <|man_1|> crossing his hands in front of his chest, Ultra HD quality.;man;;A long shot of <|man_1|> crossing his hands in front of his chest.;
easy;action+layout;34;A high angle shot of <|woman_1|> crossing her hands in front of her chest, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> crossing her hands in front of her chest.;
easy;action+layout;35;A low angle shot of <|woman_1|> crossing her hands in front of her chest, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> crossing her hands in front of her chest.;
easy;action+layout;36;A close shot of <|woman_1|> kneeling on the ground, Ultra HD quality.;woman;;A close shot of <|woman_1|> kneeling on the ground.;
easy;action+layout;37;A long shot of <|woman_1|> kneeling on the ground, Ultra HD quality.;woman;;A long shot of <|woman_1|> kneeling on the ground.;
easy;action+layout;38;A high angle shot of <|man_1|> kneeling on the ground, Ultra HD quality.;man;;A high angle shot of <|man_1|> kneeling on the ground.;
easy;action+layout;39;A low angle shot of <|man_1|> kneeling on the ground, Ultra HD quality.;man;;A low angle shot of <|man_1|> kneeling on the ground.;
easy;action+layout;40;A close shot of <|man_1|> squatting down, Ultra HD quality.;man;;A close shot of <|man_1|> squatting down.;
easy;action+layout;41;A long shot of <|man_1|> squatting down, Ultra HD quality.;man;;A long shot of <|man_1|> squatting down.;
easy;action+layout;42;A high angle shot of <|woman_1|> squatting down, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> squatting down.;
easy;action+layout;43;A low angle shot of <|woman_1|> squatting down, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> squatting down.;
easy;action+layout;44;A close shot of <|woman_1|> punching, Ultra HD quality.;woman;;A close shot of <|woman_1|> punching.;
easy;action+layout;45;A long shot of <|woman_1|> punching, Ultra HD quality.;woman;;A long shot of <|woman_1|> punching.;
easy;action+layout;46;A high angle shot of <|man_1|> punching, Ultra HD quality.;man;;A high angle shot of <|man_1|> punching.;
easy;action+layout;47;A low angle shot of <|man_1|> punching, Ultra HD quality.;man;;A low angle shot of <|man_1|> punching.;
easy;action+layout;48;A close shot of <|man_1|> shrugging his shoulders, Ultra HD quality.;man;;A close shot of <|man_1|> shrugging his shoulders.;
easy;action+layout;49;A long shot of <|man_1|> shrugging his shoulders, Ultra HD quality.;man;;A long shot of <|man_1|> shrugging his shoulders.;
easy;action+layout;50;A high angle shot of <|woman_1|> shrugging her shoulders, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> shrugging her shoulders.;
easy;action+layout;51;A low angle shot of <|woman_1|> shrugging her shoulders, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> shrugging her shoulders.;
easy;action+expression;0;A photo of <|man_1|> standing, with a big smile, Ultra HD quality.;man;;A photo of <|man_1|> standing, with a big smile.;
easy;action+expression;1;A photo of <|man_1|> standing, looking nervous, Ultra HD quality.;man;;A photo of <|man_1|> standing, looking nervous.;
easy;action+expression;2;A photo of <|woman_1|> standing, looking sad, Ultra HD quality.;woman;;A photo of <|woman_1|> standing, looking sad.;
easy;action+expression;3;A photo of <|woman_1|> standing, gracefully, Ultra HD quality.;woman;;A photo of <|woman_1|> standing, gracefully.;
easy;action+expression;4;A photo of <|woman_1|> walking, looking deep in thought, Ultra HD quality.;woman;;A photo of <|woman_1|> walking, looking deep in thought.;
easy;action+expression;5;A photo of <|woman_1|> walking, swinging arms happily, Ultra HD quality.;woman;;A photo of <|woman_1|> walking, swinging arms happily.;
easy;action+expression;6;A photo of <|man_1|> walking, with a heavy heart, his eyes looking down, Ultra HD quality.;man;;A photo of <|man_1|> walking, with a heavy heart, his eyes looking down.;
easy;action+expression;7;A photo of <|man_1|> walking, with excitement, smiling brightly, Ultra HD quality.;man;;A photo of <|man_1|> walking, with excitement, smiling brightly.;
easy;action+expression;8;A photo of <|man_1|> running, with a big smile, enjoying the fresh air, Ultra HD quality.;man;;A photo of <|man_1|> running, with a big smile, enjoying the fresh air.;
easy;action+expression;9;A photo of <|man_1|> running, excitedly, swinging arms with joy, Ultra HD quality.;man;;A photo of <|man_1|> running, excitedly, swinging arms with joy.;
easy;action+expression;10;A photo of <|woman_1|> running, looking determined, Ultra HD quality.;woman;;A photo of <|woman_1|> running, looking determined.;
easy;action+expression;11;A photo of <|woman_1|> running, with fear, looking over her shoulder, Ultra HD quality.;woman;;A photo of <|woman_1|> running, with fear, looking over her shoulder.;
easy;action+expression;12;A photo of <|woman_1|> waving her hand, with a big, friendly smile, Ultra HD quality.;woman;;A photo of <|woman_1|> waving her hand, with a big, friendly smile.;
easy;action+expression;13;A photo of <|woman_1|> waving her hand, excitedly, eyes full of joy, Ultra HD quality.;woman;;A photo of <|woman_1|> waving her hand, excitedly, eyes full of joy.;
easy;action+expression;14;A photo of <|man_1|> waving his hand, gently, looking nostalgic, Ultra HD quality.;man;;A photo of <|man_1|> waving his hand, gently, looking nostalgic.;
easy;action+expression;15;A photo of <|man_1|> waving his hand, hesitantly, looking unsure, Ultra HD quality.;man;;A photo of <|man_1|> waving his hand, hesitantly, looking unsure.;
easy;action+expression;16;A photo of <|man_1|> clapping, enthusiastically, cheering for someone, Ultra HD quality.;man;;A photo of <|man_1|> clapping, enthusiastically, cheering for someone.;
easy;action+expression;17;A photo of <|man_1|> clapping, with delight, eyes shining, Ultra HD quality.;man;;A photo of <|man_1|> clapping, with delight, eyes shining.;
easy;action+expression;18;A photo of <|woman_1|> clapping, looking thoughtful, Ultra HD quality.;woman;;A photo of <|woman_1|> clapping, looking thoughtful.;
easy;action+expression;19;A photo of <|woman_1|> clapping, with a smirk, looking unimpressed, Ultra HD quality.;woman;;A photo of <|woman_1|> clapping, with a smirk, looking unimpressed.;
easy;action+expression;20;A photo of <|woman_1|> putting her hands in her pockets, looking cool, Ultra HD quality.;woman;;A photo of <|woman_1|> putting her hands in her pockets, looking cool.;
easy;action+expression;21;A photo of <|woman_1|> putting her hands in her pockets, shoulders slightly slouched, Ultra HD quality.;woman;;A photo of <|woman_1|> putting her hands in her pockets, shoulders slightly slouched.;
easy;action+expression;22;A photo of <|man_1|> putting his hands in his pockets, with a confident smile, Ultra HD quality.;man;;A photo of <|man_1|> putting his hands in his pockets, with a confident smile.;
easy;action+expression;23;A photo of <|man_1|> putting his hands in his pockets, looking cold, Ultra HD quality.;man;;A photo of <|man_1|> putting his hands in his pockets, looking cold.;
easy;action+expression;24;A photo of <|man_1|> jumping up, with excitement, arms raised high, Ultra HD quality.;man;;A photo of <|man_1|> jumping up, with excitement, arms raised high.;
easy;action+expression;25;A photo of <|man_1|> jumping up, in joy, her face full of happiness, Ultra HD quality.;man;;A photo of <|man_1|> jumping up, in joy, her face full of happiness.;
easy;action+expression;26;A photo of <|woman_1|> jumping up, with surprise, mouth open, Ultra HD quality.;woman;;A photo of <|woman_1|> jumping up, with surprise, mouth open.;
easy;action+expression;27;A photo of <|woman_1|> jumping up, with power and determination, Ultra HD quality.;woman;;A photo of <|woman_1|> jumping up, with power and determination.;
easy;action+expression;28;A photo of <|woman_1|> checking the time on her wristwatch, looking impatient, Ultra HD quality.;woman;;A photo of <|woman_1|> checking the time on her wristwatch, looking impatient.;
easy;action+expression;29;A photo of <|woman_1|> checking the time on her wristwatch, looking serious, Ultra HD quality.;woman;;A photo of <|woman_1|> checking the time on her wristwatch, looking serious.;
easy;action+expression;30;A photo of <|man_1|> checking the time on his wristwatch, looking surprised, Ultra HD quality.;man;;A photo of <|man_1|> checking the time on his wristwatch, looking surprised.;
easy;action+expression;31;A photo of <|man_1|> checking the time on his wristwatch, looking deep in thought, Ultra HD quality.;man;;A photo of <|man_1|> checking the time on his wristwatch, looking deep in thought.;
easy;action+expression;32;A photo of <|man_1|> crossing his hands in front of his chest, looking defensive, Ultra HD quality.;man;;A photo of <|man_1|> crossing his hands in front of his chest, looking defensive.;
easy;action+expression;33;A photo of <|man_1|> crossing his hands in front of his chest, smiling confidently, Ultra HD quality.;man;;A photo of <|man_1|> crossing his hands in front of his chest, smiling confidently.;
easy;action+expression;34;A photo of <|woman_1|> crossing her hands in front of her chest, looking grumpy, Ultra HD quality.;woman;;A photo of <|woman_1|> crossing her hands in front of her chest, looking grumpy.;
easy;action+expression;35;A photo of <|woman_1|> crossing her hands in front of her chest, looking strict, Ultra HD quality.;woman;;A photo of <|woman_1|> crossing her hands in front of her chest, looking strict.;
easy;action+expression;36;A photo of <|woman_1|> kneeling on the ground, looking tired, Ultra HD quality.;woman;;A photo of <|woman_1|> kneeling on the ground, looking tired.;
easy;action+expression;37;A photo of <|woman_1|> kneeling on the ground, playing with a toy, Ultra HD quality.;woman;;A photo of <|woman_1|> kneeling on the ground, playing with a toy.;
easy;action+expression;38;A photo of <|man_1|> kneeling on the ground, tying his shoelace, Ultra HD quality.;man;;A photo of <|man_1|> kneeling on the ground, tying his shoelace.;
easy;action+expression;39;A photo of <|man_1|> kneeling on the ground, looking at something closely, Ultra HD quality.;man;;A photo of <|man_1|> kneeling on the ground, looking at something closely.;
easy;action+expression;40;A photo of <|man_1|> squatting down, looking tired, Ultra HD quality.;man;;A photo of <|man_1|> squatting down, looking tired.;
easy;action+expression;41;A photo of <|man_1|> squatting down, organizing her belongings, Ultra HD quality.;man;;A photo of <|man_1|> squatting down, organizing her belongings.;
easy;action+expression;42;A photo of <|woman_1|> squatting down, picking up a flower, Ultra HD quality.;woman;;A photo of <|woman_1|> squatting down, picking up a flower.;
easy;action+expression;43;A photo of <|woman_1|> squatting down, resting after exercise, Ultra HD quality.;woman;;A photo of <|woman_1|> squatting down, resting after exercise.;
easy;action+expression;44;A photo of <|woman_1|> punching, looking fierce, Ultra HD quality.;woman;;A photo of <|woman_1|> punching, looking fierce.;
easy;action+expression;45;A photo of <|woman_1|> punching, pretending to fight, Ultra HD quality.;woman;;A photo of <|woman_1|> punching, pretending to fight.;
easy;action+expression;46;A photo of <|man_1|> punching, smiling playfully, Ultra HD quality.;man;;A photo of <|man_1|> punching, smiling playfully.;
easy;action+expression;47;A photo of <|man_1|> punching, full of energy, Ultra HD quality.;man;;A photo of <|man_1|> punching, full of energy.;
easy;action+expression;48;A photo of <|man_1|> shrugging his shoulders, looking confused, Ultra HD quality.;man;;A photo of <|man_1|> shrugging his shoulders, looking confused.;
easy;action+expression;49;A photo of <|man_1|> shrugging his shoulders, pretending not to know, Ultra HD quality.;man;;A photo of <|man_1|> shrugging his shoulders, pretending not to know.;
easy;action+expression;50;A photo of <|woman_1|> shrugging her shoulders, looking uninterested, Ultra HD quality.;woman;;A photo of <|woman_1|> shrugging her shoulders, looking uninterested.;
easy;action+expression;51;A photo of <|woman_1|> shrugging her shoulders, with a smile, looking playful, Ultra HD quality.;woman;;A photo of <|woman_1|> shrugging her shoulders, with a smile, looking playful.;
easy;action+background;0;A photo of <|man_1|> standing, in a cozy living room, Ultra HD quality.;man;;A photo of <|man_1|> standing.;
easy;action+background;1;A photo of <|man_1|> standing, in a modern living room, Ultra HD quality.;man;;A photo of <|man_1|> standing.;
easy;action+background;2;A photo of <|woman_1|> standing, in a stone-paved alley, Ultra HD quality.;woman;;A photo of <|woman_1|> standing.;
easy;action+background;3;A photo of <|woman_1|> standing, in an open square, Ultra HD quality.;woman;;A photo of <|woman_1|> standing.;
easy;action+background;4;A photo of <|woman_1|> walking, in an open green park, Ultra HD quality.;woman;;A photo of <|woman_1|> walking.;
easy;action+background;5;A photo of <|woman_1|> walking, in a dense forest, Ultra HD quality.;woman;;A photo of <|woman_1|> walking.;
easy;action+background;6;A photo of <|man_1|> walking, on a serene beach, Ultra HD quality.;man;;A photo of <|man_1|> walking.;
easy;action+background;7;A photo of <|man_1|> walking, in a remote valley, Ultra HD quality.;man;;A photo of <|man_1|> walking.;
easy;action+background;8;A photo of <|man_1|> running, on a tropical beach, Ultra HD quality.;man;;A photo of <|man_1|> running.;
easy;action+background;9;A photo of <|man_1|> running, in a European town square, Ultra HD quality.;man;;A photo of <|man_1|> running.;
easy;action+background;10;A photo of <|woman_1|> running, on a quiet city street, Ultra HD quality.;woman;;A photo of <|woman_1|> running.;
easy;action+background;11;A photo of <|woman_1|> running, on a steep city street, Ultra HD quality.;woman;;A photo of <|woman_1|> running.;
easy;action+background;12;A photo of <|woman_1|> waving her hand, in a modern conference room, Ultra HD quality.;woman;;A photo of <|woman_1|> waving her hand.;
easy;action+background;13;A photo of <|woman_1|> waving her hand, in a modern office, Ultra HD quality.;woman;;A photo of <|woman_1|> waving her hand.;
easy;action+background;14;A photo of <|man_1|> waving his hand, in a rustic café with wooden walls, Ultra HD quality.;man;;A photo of <|man_1|> waving his hand.;
easy;action+background;15;A photo of <|man_1|> waving his hand, in a serene rose garden, Ultra HD quality.;man;;A photo of <|man_1|> waving his hand.;
easy;action+background;16;A photo of <|man_1|> clapping, in a sunlit pasture, Ultra HD quality.;man;;A photo of <|man_1|> clapping.;
easy;action+background;17;A photo of <|man_1|> clapping, on a colorful basketball court, Ultra HD quality.;man;;A photo of <|man_1|> clapping.;
easy;action+background;18;A photo of <|woman_1|> clapping, in a reading room, Ultra HD quality.;woman;;A photo of <|woman_1|> clapping.;
easy;action+background;19;A photo of <|woman_1|> clapping, in a cozy living room, Ultra HD quality.;woman;;A photo of <|woman_1|> clapping.;
easy;action+background;20;A photo of <|woman_1|> putting her hands in her pockets, in a modern living room, Ultra HD quality.;woman;;A photo of <|woman_1|> putting her hands in her pockets.;
easy;action+background;21;A photo of <|woman_1|> putting her hands in her pockets, in a stone-paved alley, Ultra HD quality.;woman;;A photo of <|woman_1|> putting her hands in her pockets.;
easy;action+background;22;A photo of <|man_1|> putting his hands in his pockets, in an open square, Ultra HD quality.;man;;A photo of <|man_1|> putting his hands in his pockets.;
easy;action+background;23;A photo of <|man_1|> putting his hands in his pockets, in an open green park, Ultra HD quality.;man;;A photo of <|man_1|> putting his hands in his pockets.;
easy;action+background;24;A photo of <|man_1|> jumping up, in a dense forest, Ultra HD quality.;man;;A photo of <|man_1|> jumping up.;
easy;action+background;25;A photo of <|man_1|> jumping up, on a serene beach, Ultra HD quality.;man;;A photo of <|man_1|> jumping up.;
easy;action+background;26;A photo of <|woman_1|> jumping up, in a remote valley, Ultra HD quality.;woman;;A photo of <|woman_1|> jumping up.;
easy;action+background;27;A photo of <|woman_1|> jumping up, on a tropical beach, Ultra HD quality.;woman;;A photo of <|woman_1|> jumping up.;
easy;action+background;28;A photo of <|woman_1|> checking the time on her wristwatch, in a modern conference room, Ultra HD quality.;woman;;A photo of <|woman_1|> checking the time on her wristwatch.;
